,instruction,input,output,predict
10,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'Olympus Black 10 Megapixels Digital Camera SP565UZ', 'description': 'Olympus Black 10 Megapixels Digital Camera SP565UZ Dual Image Stabilization 10 Megapixels 20x Wide-Angle Zoom Lens Pre-Capture Face Detection 33 Shooting Modes 48MB Internal Memory Black Finish', 'category': 'Electronics', 'sku': 'SP565UZ', 'brand': 'Olympus', 'modelno': 'SP565UZ', 'key_features': ['Dual Image Stabilization', '10 Megapixels', '20x Wide-Angle Zoom Lens', 'Pre-Capture Face Detection', '33 Shooting Modes', '48MB Internal Memory', 'Black Finish']}""

Entity 2:""{\n  \""name\"": \""Sony Cyber-shot DSC-H50 Digital Camera Black DSCH50B\"",\n  \""category\"": \""Electronics\"",\n  \""sku\"": \""DSCH50B\"",\n  \""brand\"": \""Sony\"",\n  \""modelno\"": \""DSCH50B\"",\n  \""description\"": \""9.1 Megapixel 16:9 2x Digital Zoom 3\"" Active Matrix TFT Color LCD\"",\n  \""price\"": 329.0\n}\n""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
11,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', 'description': 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish', 'price': ''}""

Entity 2:""{'name': 'Panasonic KX-TGA670B Cordless Handset', 'description': 'Panasonic KX-TGA670B Additional Handset for Panasonic KX-TG6700B', 'price': '', 'category': 'Telephone Accessories', 'sku': 'KX-TGA670B', 'brand': 'Panasonic', 'modelno': 'KX-TGA670B', 'key_features': ['Additional Handset', 'Compatible with Panasonic KX-TG6700B']}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
12,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t', 'description': 'panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t 2 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish', 'category': 'Telephones', 'sku': 'KXTG9342T', 'brand': 'Panasonic', 'modelno': 'KXTG9342T', 'key_features': ['DECT 6.0', 'Expandable', 'Digital Cordless', 'All-Digital Answering System', '2 Handsets', 'Up to 6 Multi-Handset Capability', 'Digital Answering Machine', 'System', 'Ringer ID', 'Call Waiting', 'Caller ID', 'Voicemail', 'Hold', 'Voice Menu', 'Marker Message', 'Mute', 'Clock', 'Alarm', 'LED Lighting', 'Night Mode', 'Call Block', 'Speakerphone', '11 Days Standby', '5 Hours Talk Time', 'Black Metallic Finish']}""

Entity 2:""{'name': 'panasonic kx-tg9332t cordless phone', 'description': '1 x phone line ( s ) black , metallic', 'price': ''}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
13,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': \""sanus 15 ' 37 ' visionmount full-motion flat panel tv black wall mount mf215b1\"", 'description': \""sanus 15 ' 37 ' visionmount full-motion flat panel tv black wall mount mf215b1 easily conceal hardware easy to install includes two vesa-compatible tv brackets virtual axis 3d black finish\"", 'price': '', 'category': 'Electronics', 'sku': 'MF215B1', 'brand': 'SANUS', 'modelno': 'VMF215B1', 'key_features': ['Full-motion', 'Easy to install', 'VESA-compatible', 'Conceal hardware', 'Virtual Axis 3D', 'Black finish']}""

Entity 2:""{'name': 'sanus visionmount flat panel tv wall mount vmpl3b', 'description': 'steel 280 lb', 'price': 144.05}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
14,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'canon deluxe grey leather case 2349b001', 'description': 'canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish', 'price': '', 'category': 'Camera Cases', 'sku': '2349b001', 'brand': 'Canon', 'modelno': '2349b001', 'key_features': ['Genuine Leather', 'Fits Powershot SD770, SD1100, SD1000']}""

Entity 2:""{'name': 'nikon digital camera leather case 5811', 'description': 'leather black', 'price': 7.99}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
15,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{\n  \""name\"": \""Canon Silver PowerShot Digital Camera SD880IS\"",\n  \""description\"": \""Canon Silver PowerShot Digital Camera SD880IS 10 megapixel 4x optical zoom Optical Image Stabilizer 3.0\\\"" PureColor LCD II Digic 4 Image Processor Face Detection Self-timer Red-eye Correction 19 shooting modes Print/Share button Silver finish\"",\n  \""category\"": \""Electronics\"",\n  \""sku\"": \""SD880IS\"",\n  \""brand\"": \""Canon\"",\n  \""modelno\"": \""SD880IS\"",\n  \""key_features\"": [\""10 megapixel\"", \""4x optical zoom\"", \""Optical Image Stabilizer\"", \""3.0\\\"" PureColor LCD II\"", \""Digic 4 Image Processor\"", \""Face Detection\"", \""Self-timer\"", \""Red-eye Correction\"", \""19 shooting modes\"", \""Print/Share button\"", \""Silver finish\""]\n}\n""

Entity 2:""{'name': 'canon powershot sd790 is digital camera 2554b001', 'description': \""canon powershot sd790 is 10 megapixel digital camera with 3x optical zoom , 3 ' lcd , & pictbridge\"", 'price': ''}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
16,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{\n  \""name\"": \""Samsung 50\"" Widescreen Plasma HDTV PN50A650\"",\n  \""description\"": \""Samsung 50\"" Widescreen Plasma HDTV PN50A650 Touch of Color Ultra FilterBright Anti Glare Technology 1,000,000:1 Dynamic Contrast Ratio Picture-in-Picture Anti-Burn-In Technology Sports/Game/Movie Modes Single Integrated User Interface with Wheel-Key Remote ATSC/NTSC/Clear QA Tuners\"",\n  \""category\"": \""Electronics\"",\n  \""sku\"": \""PN50A650\"",\n  \""brand\"": \""Samsung\"",\n  \""modelno\"": \""50A650\"",\n  \""key_features\"": [\""Touch of Color\"", \""Ultra FilterBright\"", \""Anti Glare Technology\"", \""1,000,000:1 Dynamic Contrast Ratio\"", \""Picture-in-Picture\"", \""Anti-Burn-In Technology\"", \""Sports/Game/Movie Modes\"", \""Single Integrated User Interface\"", \""Wheel-Key Remote\"", \""ATSC/NTSC/Clear QA Tuners\""]\n}\n""

Entity 2:""{'name': \""samsung pn58a550 58 ' plasma tv\"", 'description': \""samsung pn58a550 58 ' widescreen 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio piano black\"", 'price': 2294.9}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
17,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'panasonic kx-tga450b black 5.8 ghz cordless handset kxtga450b', 'description': 'panasonic kx-tga450b black 5.8 ghz cordless handset kxtga450b frequency hopping digital spread spectrum technology answering system with compatible base unit call waiting caller id join in/privacy 2-way intercom voice scramble black finish', 'price': '', 'category': 'Telephones & Accessories', 'sku': 'KX-TGA450B', 'brand': 'Panasonic', 'modelno': 'KX-TGA450B', 'key_features': ['Frequency Hopping', 'Digital Spread Spectrum Technology', 'Answering System', 'Compatible Base Unit', 'Call Waiting', 'Caller ID', 'Join-in/Privacy', '2-way Intercom', 'Voice Scramble', 'Black Finish']}""

Entity 2:""{'name': 'panasonic kx-tg1034s dect 6.0 cordless phone kx-tg1034s', 'description': 'panasonic dect 6.0 series 4 handset cordless phone system with answering system', 'price': 89.45}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
18,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'olympus premium slim leather case in black 202087', 'description': 'olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish', 'price': ''}""

Entity 2:""{'name': 'olympus neoprene soft camera case 202066', 'description': 'top loading neoprene black', 'price': 11.89}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
19,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{\n  \""name\"": \""sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100\"",\n  \""description\"": \""sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish\"",\n  \""price\"": \""\"",\n  \""category\"": \""Electronics\"",\n  \""sku\"": \""KDL46S4100\"",\n  \""brand\"": \""Sony\"",\n  \""modelno\"": \""KDL46S4100\"",\n  \""key_features\"": [\""1920 x 1080 Full HD Resolution\"", \""24p True Cinema\"", \""ATSC/NTSC Tuner with QAM\"", \""2,500:1 Contrast Ratio\"", \""Cinemotion Reverse 3:2 Pulldown Technology\"", \""3D Comb Filter\"", \""MPEG Noise Reduction\"", \""Black Finish\""]\n}\n""

Entity 2:""{'name': \""sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000\"", 'description': \""32 ' atsc , ntsc 16:9 1366 x 768 hdtv\"", 'price': 639.95}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
20,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'panasonic expandable digital cordless dect 6.0 handset in silver kxtga101s', 'description': 'panasonic expandable digital cordless dect 6.0 handset in silver kxtga101s expansion handset and charger select 1000 series phone systems big buttons built-in clock with alarm silver finish', 'price': 39.0, 'category': 'Electronics', 'sku': 'KXTGA101S', 'brand': 'Panasonic', 'modelno': 'KX-TG101S', 'key_features': ['Expandable', 'DECT 6.0', 'Cordless', 'Big Buttons', 'Built-in Clock', 'Alarm', 'Silver Finish']}""

Entity 2:""{'name': 'panasonic kx-tg1033s digital cordless phone with three handsets', 'description': '1 x phone line ( s ) headset jack silver', 'price': ''}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
21,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': \""toshiba 19 ' black lcd hdtv 19av500u\"", 'description': \""toshiba 19 ' black lcd hdtv 19av500u 720p hd display dynalight back-light control theaterwide modes soundstrip speaker system hdmi digital input universal remote high-gloss bezel black finish\"", 'price': '', 'category': 'Electronics', 'sku': '19av500u', 'brand': 'Toshiba', 'modelno': '19av500u', 'key_features': ['720p HD display', 'DynaLight back-light control', 'TheaterWide modes', 'SoundStrip speaker system', 'HDMI digital input', 'Universal remote', 'High-gloss bezel', 'Black finish']}""

Entity 2:""{'name': \""toshiba 42rv535u 42 ' widescreen 1080p lcd hdtv w / cinespeed piano black\"", 'description': '', 'price': 789.98}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
22,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b', 'description': 'panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish', 'price': ''}""

Entity 2:""{\n  \""name\"": \""uniden tcx905 cordless handset tcx905\"",\n  \""description\"": \""uniden tcx-905 tru-digital expansion handset with caller id\"",\n  \""price\"": \""\"",\n  \""category\"": \""Telephones & Accessories\"",\n  \""sku\"": \""TCX905\"",\n  \""brand\"": \""Uniden\"",\n  \""modelno\"": \""TCX905\"",\n  \""key_features\"": [\""Tru-Digital technology\"", \""Expansion handset\"", \""Caller ID\""]\n}\n""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
23,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'sony blu-ray disc player bdps550', 'description': 'sony blu-ray disc player bdps550 decode dolby truehd and dts hd internally full hd 1080 video output 24p true cinema dvd upscaling to 1080p via hdmi bravia theatre sync ( hdmi-cec ) bd/dvd/cd playback and avchd with x.v. color output dolby digital plus decoding backlit remote glass front finish', 'price': ''}""

Entity 2:""{'name': 'sony scd-ce595 cd player scdce595', 'description': 'cd-rom , cd-r , cd-rw cd-text playback 5 disc ( s )', 'price': ''}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
